"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.455059337E2,6.518865542E1,2.535630458E1,2.620757710E0,1.610000014E0,3.312999878E2,3.790092468E0,2.500000000E0
1.465052123E2,6.518866744E1,2.535628639E1,2.821126386E0,1.519999981E0,3.285000000E2,3.790092468E0,2.500000000E0
1.475056292E2,6.518867968E1,2.535626657E1,3.037546843E0,1.570000052E0,3.258999939E2,3.790092468E0,2.500000000E0
1.485060000E2,6.518869268E1,2.535624910E1,3.328430347E0,1.580000043E0,3.307999878E2,3.790092468E0,2.500000000E0
1.495057064E2,6.518870445E1,2.535622993E1,3.325673925E0,1.490000010E0,3.257000122E2,3.790092468E0,2.500000000E0
1.505052408E2,6.518871594E1,2.535621031E1,3.425517634E0,1.509999990E0,3.252000122E2,3.790092468E0,2.500000000E0
1.515055634E2,6.518872820E1,2.535619083E1,3.497528975E0,1.559999943E0,3.230000000E2,3.790092468E0,2.500000000E0
1.525050064E2,6.518874049E1,2.535617249E1,3.579245143E0,1.580000043E0,3.252999878E2,3.790092468E0,2.500000000E0
1.535060028E2,6.518875256E1,2.535615233E1,3.765148026E0,1.639999986E0,3.226000061E2,3.790092468E0,2.500000000E0
1.545051041E2,6.518876473E1,2.535612796E1,3.590454227E0,1.669999957E0,3.206000061E2,3.790092468E0,2.500000000E0
1.555051993E2,6.518877568E1,2.535609944E1,3.084095054E0,1.669999957E0,3.120000000E2,3.790092468E0,2.500000000E0
1.565053111E2,6.518878510E1,2.535606973E1,3.237282245E0,1.600000024E0,3.076000061E2,3.790092468E0,2.500000000E0
1.575055019E2,6.518879536E1,2.535604149E1,2.982266235E0,1.600000024E0,3.098999939E2,3.790092468E0,2.500000000E0
1.585057041E2,6.518880529E1,2.535601145E1,2.540238266E0,1.649999976E0,3.068999939E2,3.790092468E0,2.500000000E0
1.595059586E2,6.518881555E1,2.535598142E1,2.804447934E0,1.620000005E0,3.087999878E2,3.790092468E0,2.500000000E0
1.605049952E2,6.518882604E1,2.535595085E1,2.859428857E0,1.649999976E0,3.082000122E2,3.790092468E0,2.500000000E0
1.615056899E2,6.518883617E1,2.535592043E1,2.778667796E0,1.649999976E0,3.085000000E2,3.790092468E0,2.500000000E0
1.625056823E2,6.518884601E1,2.535589088E1,2.526825523E0,1.649999976E0,3.105000000E2,3.790092468E0,2.500000000E0
1.635051808E2,6.518885609E1,2.535586277E1,2.647175835E0,1.610000014E0,3.095000000E2,3.790092468E0,2.500000000E0
1.645052394E2,6.518886544E1,2.535583422E1,2.641793976E0,1.590000033E0,3.062999878E2,3.790092468E0,2.500000000E0
1.655052929E2,6.518887339E1,2.535580563E1,2.546691096E0,1.539999962E0,3.048999939E2,3.790092468E0,2.500000000E0
1.665057639E2,6.518888211E1,2.535577399E1,2.313281510E0,1.639999986E0,3.056000061E2,3.790092468E0,2.500000000E0
1.675056017E2,6.518889016E1,2.535574241E1,2.245582706E0,1.600000024E0,3.021000061E2,3.790092468E0,2.500000000E0
1.685051730E2,6.518889749E1,2.535570991E1,2.291409432E0,1.629999995E0,3.002000122E2,3.790092468E0,2.500000000E0
1.695056146E2,6.518890551E1,2.535567743E1,2.179582024E0,1.649999976E0,2.998999939E2,3.790092468E0,2.500000000E0
1.705057528E2,6.518891379E1,2.535564611E1,2.021368030E0,1.629999995E0,3.022000122E2,3.790092468E0,2.500000000E0
