"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.444744958E1,5.079144239E-1,1.137198448E0,-2.105953693E0
3.445249151E1,4.173834324E-1,8.777303696E-1,-1.972489476E0
3.445753339E1,2.439851761E-1,6.700096130E-1,-1.890995026E0
3.446259479E1,2.624976635E-2,5.041608810E-1,-1.850573540E0
3.446763771E1,-1.256817579E-1,3.894739151E-1,-1.849899530E0
3.447268057E1,-3.933761120E-1,3.161907196E-1,-1.979233384E0
3.447772349E1,-7.243134379E-1,2.508134842E-1,-2.094770908E0
3.448281349E1,-8.315873742E-1,4.421405792E-1,-2.569984436E0
3.448790349E1,-1.054998755E0,6.653709412E-1,-3.190926552E0
3.449299349E1,-1.285012364E0,9.161319733E-1,-3.730009794E0
3.449808349E1,-1.550943017E0,1.333544731E0,-4.232821465E0
3.450312610E1,-1.844035029E0,1.807904243E0,-4.644777775E0
3.450817677E1,-2.150758266E0,2.219897270E0,-4.948491573E0
3.451322745E1,-2.486153126E0,2.565093040E0,-5.021461010E0
3.451827807E1,-2.774248600E0,2.728958130E0,-4.936788559E0
3.452331344E1,-3.116036177E0,2.802646637E0,-4.809822559E0
3.452836333E1,-3.377593279E0,2.642759323E0,-4.587964058E0
3.453341323E1,-3.630739450E0,2.416943550E0,-4.257058144E0
3.453846313E1,-3.750968456E0,2.077351570E0,-3.950565338E0
3.454350083E1,-3.876933813E0,1.810544014E0,-3.538799286E0
3.454855011E1,-3.917095184E0,1.515831947E0,-3.054612637E0
3.455359938E1,-4.038343906E0,1.150035858E0,-2.784075260E0
3.455864865E1,-4.168733597E0,7.466630936E-1,-2.324716330E0
3.456368813E1,-4.270068169E0,3.391828537E-1,-1.991717815E0
3.456873693E1,-4.328103065E0,-5.333900452E-2,-1.655056715E0
3.457378573E1,-4.257068634E0,-4.596443176E-1,-1.424155712E0
3.457883453E1,-4.081227303E0,-9.371385574E-1,-1.207508445E0
3.458387542E1,-3.882105827E0,-1.414007187E0,-1.052766919E0
3.458892380E1,-3.678861618E0,-1.813737869E0,-8.689950705E-1
3.459397219E1,-3.481057167E0,-2.179489136E0,-6.943303943E-1
3.459902063E1,-3.260164738E0,-2.516106606E0,-6.097788811E-1
3.460406276E1,-3.040132523E0,-2.833198547E0,-5.865148306E-1
3.460911083E1,-2.768253326E0,-3.102055550E0,-6.249231100E-1
3.461415891E1,-2.434945107E0,-3.313157558E0,-6.581994891E-1
3.461920698E1,-2.126360893E0,-3.433066845E0,-6.962227821E-1
3.462425010E1,-1.837671638E0,-3.543188572E0,-6.530096531E-1
3.462929792E1,-1.578369856E0,-3.629211903E0,-5.715385675E-1
3.463434573E1,-1.257523298E0,-3.667272091E0,-5.187289715E-1
3.463939354E1,-1.023289442E0,-3.719642162E0,-5.278295279E-1
3.464443734E1,-8.275884390E-1,-3.752871990E0,-5.315952301E-1
3.464948495E1,-6.609050035E-1,-3.771790981E0,-4.771717787E-1
3.465453260E1,-4.944614172E-1,-3.723844051E0,-4.218152165E-1
3.465958021E1,-3.474997282E-1,-3.690400600E0,-3.990634084E-1
3.466462464E1,-2.200391889E-1,-3.633204937E0,-4.134560227E-1
3.466967214E1,-7.377326488E-2,-3.585733891E0,-4.508787990E-1
3.467471958E1,3.867220879E-2,-3.504916668E0,-4.444953799E-1
3.467976708E1,1.506419182E-1,-3.457696438E0,-5.046422482E-1
3.468481193E1,3.388593793E-1,-3.410550594E0,-4.496790767E-1
3.468985927E1,4.407875538E-1,-3.334776402E0,-4.234142900E-1
3.469490662E1,6.335573196E-1,-3.187360287E0,-4.020006061E-1
3.469995396E1,8.841153383E-1,-3.092744350E0,-3.044169545E-1
3.470496005E1,9.249975085E-1,-2.988718987E0,-2.408357859E-1
3.471000537E1,1.091270447E0,-2.894431114E0,-1.346436739E-1
3.471505063E1,1.167512774E0,-2.819425583E0,-6.721341610E-2
3.472009589E1,1.187468648E0,-2.677575111E0,5.695807934E-2
3.472518646E1,1.280562282E0,-2.435483932E0,2.137449980E-1
3.473023401E1,1.321974993E0,-2.236788750E0,5.041173697E-1
3.473528156E1,1.301996231E0,-2.057533264E0,7.272831202E-1
3.474032912E1,1.258666873E0,-1.897724152E0,8.454997540E-1
3.474537375E1,1.144049287E0,-1.809951782E0,9.451348782E-1
3.475042120E1,9.867743254E-1,-1.755905151E0,1.045712233E0
3.475546860E1,8.009923100E-1,-1.788148880E0,1.042163014E0
3.476051599E1,6.104225516E-1,-1.920883179E0,1.034891129E0
3.476556104E1,4.721139669E-1,-2.020037651E0,1.076405406E0
3.477060833E1,2.037299871E-1,-2.114349365E0,1.066478372E0
3.477565563E1,-4.653865099E-2,-2.304210663E0,1.076667905E0
3.478070287E1,-2.165839672E-1,-2.445980072E0,1.058768868E0
